Name,Birth,TermBegin
 George Washington,02/22/1732,04/30/1789
 John Adams,10/30/1735,03/04/1797
 Thomas Jefferson,04/13/1743,03/04/1801
 James Madison,03/16/1751,03/04/1809
 James Monroe,04/28/1758,03/04/1817
 John Quincy Adams,07/11/1767,03/04/1825
 Andrew Jackson,03/15/1767,03/04/1829
 Martin Van Buren,12/05/1782,03/04/1837
 William Henry Harrison,02/09/1773,03/04/1841
 John Tyler,03/29/1790,04/04/1841
 James K Polk,11/02/1795,03/04/1845
 Zachary Taylor,11/24/1784,03/04/1849
 Millard Fillmore,01/07/1800,07/09/1850
 Franklin Pierce,11/23/1804,03/04/1853
 James Buchanan,04/23/1791,03/04/1857
 Abraham Lincoln,02/12/1809,03/04/1861
 Andrew Johnson,12/29/1808,04/15/1865
 Ulysses S. Grant,04/27/1822,03/04/1869
 Rutherford B. Hayes,10/04/1822,03/04/1877
 James A. Garfield,11/19/1831,03/04/1881
 Chester Alan Arthur,10/05/1829,09/19/1881
 Grover Cleveland,03/18/1837,03/04/1885
 Benjamin Harrison,08/20/1833,03/04/1889
 Grover Cleveland,03/18/1837,03/04/1893
 William McKinley,01/29/1843,03/04/1897
 Theodore Roosevelt,10/27/1858,09/14/1901
 William Howard Taft,09/15/1857,03/04/1909
 Woodrow Wilson,12/28/1858,03/04/1913
 Warren G. Harding,11/02/1865,03/04/1921
 Calvin Coolidge,07/04/1872,08/02/1923
 Herbert Hoover,08/10/1874,03/04/1929
 Franklin Delano Roosevelt,01/30/1882,03/04/1933
 Harry S. Truman,05/08/1884,04/12/1945
 Dwight David Eisenhower,10/14/1890,01/20/1953
 John Fitzgerald Kennedy,05/29/1917,01/20/1961
 Lyndon Baines Johnson,08/27/1908,11/22/1963
 Richard Milhous Nixon,01/09/1913,01/20/1969
 Gerald Rudolph Ford,07/14/1913,08/09/1974
 James Earl Carter,10/01/1924,01/20/1977
 Ronald Wilson Reagan,02/06/1911,01/20/1981
 George Herbert Walker Bush,06/12/1924,01/20/1989
 William Jefferson Clinton,08/19/1946,01/20/1993
 George Walker Bush,07/06/1946,01/20/2001
 Barack Obama,08/04/1961,01/20/2009
 Donald Trump,06/14/1946,01/20/2017
Joe Biden,11/20/1942,01/20/2021
