Country name,Regional indicator
Lithuania,Central and Eastern Europe
Estonia,Central and Eastern Europe
Romania,Central and Eastern Europe
Poland,Central and Eastern Europe
Slovenia,Central and Eastern Europe
Czech Republic,Central and Eastern Europe
Croatia,Central and Eastern Europe
Slovakia,Central and Eastern Europe
Bulgaria,Central and Eastern Europe
Bosnia and Herzegovina,Central and Eastern Europe
Montenegro,Central and Eastern Europe
Hungary,Central and Eastern Europe
Serbia,Central and Eastern Europe
Albania,Central and Eastern Europe
Kosovo,Central and Eastern Europe
Latvia,Central and Eastern Europe
Russia,Commonwealth of Independent States
Georgia,Commonwealth of Independent States
Moldova,Commonwealth of Independent States
Armenia,Commonwealth of Independent States
Tajikistan,Commonwealth of Independent States
Uzbekistan,Commonwealth of Independent States
Belarus,Commonwealth of Independent States
Kazakhstan,Commonwealth of Independent States
Azerbaijan,Commonwealth of Independent States
Turkmenistan,Commonwealth of Independent States
Ukraine,Commonwealth of Independent States
Kyrgyzstan,Commonwealth of Independent States
Mongolia,East Asia
Japan,East Asia
China,East Asia
Taiwan Province of China,East Asia
Hong Kong S.A.R. of China,East Asia
South Korea,East Asia
Mexico,Latin America and Caribbean
Jamaica,Latin America and Caribbean
Honduras,Latin America and Caribbean
Peru,Latin America and Caribbean
Paraguay,Latin America and Caribbean
Panama,Latin America and Caribbean
Haiti,Latin America and Caribbean
Nicaragua,Latin America and Caribbean
Guatemala,Latin America and Caribbean
El Salvador,Latin America and Caribbean
Trinidad and Tobago,Latin America and Caribbean
Ecuador,Latin America and Caribbean
Dominican Republic,Latin America and Caribbean
Costa Rica,Latin America and Caribbean
Argentina,Latin America and Caribbean
Colombia,Latin America and Caribbean
Chile,Latin America and Caribbean
Brazil,Latin America and Caribbean
Bolivia,Latin America and Caribbean
Uruguay,Latin America and Caribbean
Venezuela,Latin America and Caribbean
Jordan,Middle East and North Africa
Libya,Middle East and North Africa
Bahrain,Middle East and North Africa
Yemen,Middle East and North Africa
Algeria,Middle East and North Africa
Kuwait,Middle East and North Africa
Morocco,Middle East and North Africa
Lebanon,Middle East and North Africa
Turkey,Middle East and North Africa
Saudi Arabia,Middle East and North Africa
Iraq,Middle East and North Africa
Egypt,Middle East and North Africa
Iran,Middle East and North Africa
United Arab Emirates,Middle East and North Africa
Palestinian Territories,Middle East and North Africa
Israel,Middle East and North Africa
Tunisia,Middle East and North Africa
Australia,North America and ANZ
New Zealand,North America and ANZ
United States,North America and ANZ
Canada,North America and ANZ
Pakistan,South Asia
Sri Lanka,South Asia
Maldives,South Asia
Nepal,South Asia
Afghanistan,South Asia
India,South Asia
Bangladesh,South Asia
Thailand,Southeast Asia
Myanmar,Southeast Asia
Laos,Southeast Asia
Singapore,Southeast Asia
Cambodia,Southeast Asia
Philippines,Southeast Asia
Malaysia,Southeast Asia
Vietnam,Southeast Asia
Indonesia,Southeast Asia
Ethiopia,Sub-Saharan Africa
Congo (Brazzaville),Sub-Saharan Africa
Senegal,Sub-Saharan Africa
South Africa,Sub-Saharan Africa
South Sudan,Sub-Saharan Africa
Congo (Kinshasa),Sub-Saharan Africa
Swaziland,Sub-Saharan Africa
Sierra Leone,Sub-Saharan Africa
Madagascar,Sub-Saharan Africa
Tanzania,Sub-Saharan Africa
Rwanda,Sub-Saharan Africa
Togo,Sub-Saharan Africa
Chad,Sub-Saharan Africa
Central African Republic,Sub-Saharan Africa
Cameroon,Sub-Saharan Africa
Uganda,Sub-Saharan Africa
Burundi,Sub-Saharan Africa
Burkina Faso,Sub-Saharan Africa
Botswana,Sub-Saharan Africa
Benin,Sub-Saharan Africa
Comoros,Sub-Saharan Africa
Gabon,Sub-Saharan Africa
Zimbabwe,Sub-Saharan Africa
Mauritania,Sub-Saharan Africa
Gambia,Sub-Saharan Africa
Ivory Coast,Sub-Saharan Africa
Niger,Sub-Saharan Africa
Kenya,Sub-Saharan Africa
Zambia,Sub-Saharan Africa
Nigeria,Sub-Saharan Africa
Lesotho,Sub-Saharan Africa
Mauritius,Sub-Saharan Africa
Mozambique,Sub-Saharan Africa
Namibia,Sub-Saharan Africa
Mali,Sub-Saharan Africa
Guinea,Sub-Saharan Africa
Ghana,Sub-Saharan Africa
Liberia,Sub-Saharan Africa
Malawi,Sub-Saharan Africa
Malta,Western Europe
Belgium,Western Europe
Austria,Western Europe
United Kingdom,Western Europe
Portugal,Western Europe
Netherlands,Western Europe
Ireland,Western Europe
Switzerland,Western Europe
Sweden,Western Europe
North Cyprus,Western Europe
Spain,Western Europe
Norway,Western Europe
Cyprus,Western Europe
Iceland,Western Europe
Denmark,Western Europe
Greece,Western Europe
Finland,Western Europe
Germany,Western Europe
Luxembourg,Western Europe
Italy,Western Europe
France,Western Europe
